identity,n_testable_rows,n_papers,median_relative_error,frac_within_1pct,frac_within_5pct,frac_within_20pct,n_gross_violations_gt50pct
C_A = C_g * m_A,39.0,14.0,0.0038174273858922487,0.7692307692307693,0.8461538461538461,0.8974358974358975,3.0
C_V = C_g * m_A / t,34.0,13.0,0.00865944623463416,0.5,0.7647058823529411,0.8529411764705882,4.0
