row_index,paper_id,raw_value,raw_unit,parsed_kind,disposition,target_cap_F_g
87,10.1002/aelm.201700339,,,missing,dropped:no_value_reported,
88,10.1002/aelm.201700339,,,missing,dropped:no_value_reported,
89,10.1039/d5ta06789h,234.5,F g−1,exact,kept:exact,234.5
90,10.1039/d5ta06789h,146.9,F g−1,exact,kept:exact,146.9
91,10.1039/d5ta06789h,219.1,F g−1,exact,kept:exact,219.1
92,10.1039/d6ta00010j,192,F/g,exact,kept:exact,192.0
93,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
94,10.1039/d6ta00010j,226,F/g,exact,kept:exact,226.0
95,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
96,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
97,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
98,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
99,10.1039/d6ta00010j,214,F/g,exact,kept:exact,214.0
100,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
101,10.1039/d6ta00010j,,,missing,dropped:no_value_reported,
102,10.1039/d6ta00010j,230,F/g,exact,kept:exact,230.0
103,10.1039/d6ta00010j,239,F/g,exact,kept:exact,239.0
104,10.1039/d6ta00010j,240.77,F g−1,exact,kept:exact,240.77
105,10.1039/d6ta00010j,200,F/g,exact,kept:exact,200.0
106,10.1039/d6ta00010j,197,F/g,exact,kept:exact,197.0
107,10.20517/energymater.2024.45,258.8,F g-1,exact,kept:exact,258.8
108,10.20517/energymater.2024.45,325.7,F g-1,exact,kept:exact,325.7
109,10.20517/energymater.2024.45,381.5,F g-1,exact,kept:exact,381.5
110,10.20517/energymater.2024.45,396.4,F g-1,exact,kept:exact,396.4
111,10.20517/energymater.2024.45,360.3,F g-1,exact,kept:exact,360.3
112,10.1002/eem2.12876,294,F g−1,exact,kept:exact,294.0
113,10.1002/eem2.12876,74,F g−1,exact,kept:exact,74.0
114,10.1002/eem2.12876,105,F g−1,exact,kept:exact,105.0
115,10.1002/eem2.12876,208,F g−1,exact,kept:exact,208.0
116,10.1002/eem2.12876,151,F g−1,exact,kept:exact,151.0
117,10.1002/aenm.201601372,,,missing,dropped:no_value_reported,
