condition,n_folds,r2_mean,r2_sd,r2_median,mae_mean,mae_sd,mae_median,rmse_mean,rmse_sd,rmse_median,ratio,n_synthetic_train_mean,bn_k,n_gen_seeds,r2_sd_across_gen_seeds,mae_sd_across_gen_seeds,rmse_sd_across_gen_seeds,pooled_r2,pooled_mae,pooled_rmse,pooled_n,pooled_r2_excl_extreme,pooled_mae_excl_extreme,pooled_rmse_excl_extreme
A_real_only,5,-1.9056471772150139,2.6670262339466024,-0.3357670485411257,129.56371166992187,68.02100930230183,94.52954040527344,189.06658965251393,149.29219329113602,111.75495397465649,0.0,0.0,,1,,,,-0.16029799142044632,129.5015568510015,228.5840487303236,47,-1.0404631888208304,104.10826688020127,129.5505644294215
B_real_plus_1.0x,5,-1.8763637235925565,2.274752310981018,-0.32826908839170726,130.94889907045717,65.4315228231498,116.57574147542317,190.20767770181845,148.5644814450483,132.15413613724718,1.0,37.6,2.0,3,0.5742277910428077,11.090669409958746,12.889053251227466,-0.16710895941040502,130.81299305367978,229.22346097080057,47,-1.0544304658483254,105.37329235353332,129.82360338795795
C_real_plus_3.0x,5,-2.5304137762350223,3.4272783679458168,-0.407377136567548,138.6980212436252,69.75896922017282,102.31549926757812,200.82366010983046,150.2628364616906,121.27425961367628,3.0,112.8,2.0,3,1.227625249758693,18.889092649023603,21.323314831290357,-0.27863684435866093,138.6086288614476,239.8725886102615,47,-1.5259507935620154,112.86624491041988,143.7794214703301
D_real_plus_5.25x,5,-1.3801285390895797,1.47944009138844,-0.35675993638124487,123.57263389078776,65.53736817623187,99.42196711787471,186.1015505837736,153.4828723680788,122.4917582935556,5.25,197.6,2.0,3,0.29974646775559943,6.947899963149678,7.482378718436337,-0.15271476786548713,122.80432304219998,227.8020284926121,47,-0.8130647130068348,96.68626229106518,122.00249722534015
