fold,k,ratio,gen_seed,n_synthetic,n_real_train,exact_duplicates_of_real,exact_duplicate_fraction,duplicates_within_synthetic,duplicate_within_fraction,nn_dist_mean,nn_dist_median,nn_dist_p05,nn_dist_min,real_to_real_nn_median,privacy_ratio_syn_vs_real_nn,n_syn_closer_than_real_p05
1,1,1.0,0,37,37,0,0.0,0,0.0,0.07469279484686576,0.01963915001316285,0.0032692516709066414,0.002565120870892923,0.0162813415825464,1.2062365938084623,0
1,1,3.0,0,111,37,0,0.0,0,0.0,0.08548152104069597,0.027398771456813856,0.003317380918789915,0.0006673662907014932,0.0162813415825464,1.682832542877507,3
1,1,5.25,0,194,37,0,0.0,0,0.0,0.08056680101617739,0.024838092828902446,0.003195914622363278,0.0007702350226170591,0.0162813415825464,1.5255556615511883,7
1,2,1.0,0,37,37,0,0.0,0,0.0,0.04368447169369815,0.007030441939108529,0.0014334640154464184,0.0008870079647796729,0.0162813415825464,0.43180974390004584,3
1,2,1.0,1,37,37,0,0.0,0,0.0,0.037772483505583966,0.00623582121740544,0.0012285756271715042,0.00020942536218140038,0.0162813415825464,0.38300413917304216,6
1,2,1.0,2,37,37,0,0.0,0,0.0,0.056042816236509654,0.008176077508584586,0.002490821760596495,0.0018863470534009289,0.0162813415825464,0.5021746805772653,2
1,2,3.0,0,111,37,0,0.0,0,0.0,0.03077734119575713,0.005881173737003132,0.0017892916353931857,0.0003095279894759678,0.0162813415825464,0.3612216909267324,12
1,2,3.0,1,111,37,0,0.0,0,0.0,0.04049024372876195,0.006846323185404235,0.00144563683025992,0.00027870496259069406,0.0162813415825464,0.42050117004752813,15
1,2,3.0,2,111,37,0,0.0,0,0.0,0.047665942434291876,0.00860687551971155,0.0022672310472768393,0.0007185917947073194,0.0162813415825464,0.5286342944206834,8
1,2,5.25,0,194,37,0,0.0,0,0.0,0.037073425386564544,0.006884331269479904,0.0018520079147773235,0.0003163014694044459,0.0162813415825464,0.42283562657145574,19
1,2,5.25,1,194,37,0,0.0,0,0.0,0.03637625886185347,0.007166090211751619,0.001861425533427521,0.0001854779027851614,0.0162813415825464,0.4401412608057844,18
1,2,5.25,2,194,37,0,0.0,0,0.0,0.04732213012769321,0.008028564860558748,0.0012410390774178159,0.00036387583468104417,0.0162813415825464,0.4931144537355183,18
1,3,1.0,0,37,37,0,0.0,0,0.0,0.00950051206109045,0.0058514344394453395,0.0009531075185873583,0.0006770018724061424,0.0162813415825464,0.35939510327073276,7
1,3,3.0,0,111,37,0,0.0,0,0.0,0.009220877636611426,0.004983362934777777,0.00139952145543712,0.0002909975468882997,0.0162813415825464,0.30607815145405104,20
1,3,5.25,0,194,37,0,0.0,0,0.0,0.007911220720602158,0.005703593486448069,0.0015664430849573645,0.000504445451174623,0.0162813415825464,0.3503147119376404,24
2,1,1.0,0,37,37,0,0.0,0,0.0,0.06875228317465878,0.009456587540711074,0.002890334598882628,0.001834772799705854,0.01668757701713053,0.5666842784308034,0
2,1,3.0,0,111,37,0,0.0,0,0.0,0.07285717983341361,0.014807500317943664,0.0023514034326890497,0.0005730609373369066,0.01668757701713053,0.8873367477341446,0
2,1,5.25,0,194,37,0,0.0,0,0.0,0.07676037926563255,0.019889284577265083,0.0031434896803010986,0.0009850014350285552,0.01668757701713053,1.19186173983484,0
2,2,1.0,0,37,37,0,0.0,0,0.0,0.028496548809749646,0.0064890039078580935,0.0026946478644762632,0.0004127262384815951,0.01668757701713053,0.3888523721087157,0
2,2,1.0,1,37,37,0,0.0,0,0.0,0.02085850990286874,0.0067051853343574165,0.0020066279006826677,0.0017429786976211326,0.01668757701713053,0.4018070045444134,0
2,2,1.0,2,37,37,0,0.0,0,0.0,0.01117828010527113,0.006565534377462094,0.0014565668001051619,0.001053631075275814,0.01668757701713053,0.39343844649958976,0
2,2,3.0,0,111,37,0,0.0,0,0.0,0.034085180860283365,0.007310322314453534,0.0011433555061572355,0.0005333638646787806,0.01668757701713053,0.43806972737559,0
2,2,3.0,1,111,37,0,0.0,0,0.0,0.02282005728297519,0.005367113727354377,0.0014270308334725851,0.0005037579478800548,0.01668757701713053,0.3216233082756591,0
2,2,3.0,2,111,37,0,0.0,0,0.0,0.026617682453945475,0.0072383826736076825,0.0018302728713247521,0.0005804170068605874,0.01668757701713053,0.4337587575582222,0
2,2,5.25,0,194,37,0,0.0,0,0.0,0.028201959010456936,0.006366619500071381,0.0015607797413031408,0.00037260842105560273,0.01668757701713053,0.3815185088605593,0
2,2,5.25,1,194,37,0,0.0,0,0.0,0.030265762953007515,0.006609138576075535,0.0010877936848279353,0.00040628317960237297,0.01668757701713053,0.3960514201247409,0
2,2,5.25,2,194,37,0,0.0,0,0.0,0.025741254509199597,0.00690921718506402,0.0014206146012281544,0.0002911413653106812,0.01668757701713053,0.4140335758733221,1
2,3,1.0,0,37,37,0,0.0,0,0.0,0.014906500821780454,0.004516518740529766,0.0009549061973367013,0.00031411993874644323,0.01668757701713053,0.27065155929427986,1
2,3,3.0,0,111,37,0,0.0,0,0.0,0.016276800550334796,0.005230405683676779,0.0012423898627725973,9.267312161403159e-05,0.01668757701713053,0.31343110376704403,3
2,3,5.25,0,194,37,0,0.0,0,0.0,0.014527080173117282,0.005601936012441652,0.0011176977244324573,0.00048645071464027906,0.01668757701713053,0.33569499075216364,0
3,1,1.0,0,38,38,0,0.0,0,0.0,0.09125425241569152,0.023601385081834153,0.003222753261206157,0.0019660164318942804,0.03506302521008404,0.6731131994579422,0
3,1,3.0,0,114,38,0,0.0,0,0.0,0.07915459932934382,0.018342372973889076,0.00299298376665614,0.0008032690018948039,0.03506302521008404,0.5231257960198442,1
3,1,5.25,0,200,38,0,0.0,0,0.0,0.10478638675203636,0.09944900326293923,0.00331967623606628,0.0006668306310603058,0.03506302521008404,2.8362927233768165,3
3,2,1.0,0,38,38,0,0.0,0,0.0,0.012059785530034449,0.005431196497889756,0.0009145516490276304,0.000469329842786089,0.03506302521008404,0.15489811461926442,3
3,2,1.0,1,38,38,0,0.0,0,0.0,0.008114850671227953,0.005471347758998501,0.00132520282762609,0.0008096100936686859,0.03506302521008404,0.15604323147293506,3
3,2,1.0,2,38,38,0,0.0,0,0.0,0.015503820676258483,0.005721874041003069,0.0021131199273728917,0.00048432698951152614,0.03506302521008404,0.16318825904837989,1
3,2,3.0,0,114,38,0,0.0,0,0.0,0.006862868729839763,0.005084202813487829,0.0017342065903380398,0.0003175341835289867,0.03506302521008404,0.14500182979150425,4
3,2,3.0,1,114,38,0,0.0,0,0.0,0.015369540325575049,0.005156954608807001,0.0018181587437373341,0.0002775995250346602,0.03506302521008404,0.1470767162248132,2
3,2,3.0,2,114,38,0,0.0,0,0.0,0.007314381873238182,0.005564336832472105,0.0014665632851658407,0.0008749650000741943,0.03506302521008404,0.15869528653425533,6
3,2,5.25,0,200,38,0,0.0,0,0.0,0.010611479365143459,0.005152622342655891,0.0012217856860072137,0.0005553835860711124,0.03506302521008404,0.14695315968269643,13
3,2,5.25,1,200,38,0,0.0,0,0.0,0.008340529368637859,0.005679843165220303,0.0016554900420489213,0.0005889179058329487,0.03506302521008404,0.16198953544906314,8
3,2,5.25,2,200,38,0,0.0,0,0.0,0.011356142420206643,0.0057503925362376584,0.0015154064382267788,0.0004371525010172668,0.03506302521008404,0.1640016085829314,10
