fold,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree
1,0.85,3.0,0.1,150,2,4,0.02,0.6
2,0.7,10.0,0.0,150,4,3,0.02,1.0
3,0.85,10.0,0.0,250,2,3,0.02,0.6
4,0.85,10.0,0.0,250,2,3,0.02,0.6
5,0.85,1.0,1.0,150,1,4,0.02,0.8
