fold,k,ratio,gen_seed,var_a,var_b,mi_real,mi_syn,mi_diff
1,1,1.0,0,interlayer_A,interlayer_A,1.0,1.0,0.0
1,1,1.0,0,interlayer_A,target_cap_F_g,0.24599861649491667,0.22806768227788649,-0.01793093421703018
1,1,1.0,0,interlayer_A,h2so4_M,0.13012676725268765,0.1253963992682588,-0.004730367984428857
1,1,1.0,0,interlayer_A,composition_family,0.18284034185862033,0.1860507185937421,0.003210376735121756
1,1,1.0,0,interlayer_A,scan_rate_mV_s,0.13167523013698276,0.237884601061995,0.10620937092501223
1,1,1.0,0,interlayer_A,layer_class,0.09111930885238935,0.1557218755350239,0.06460256668263455
1,1,1.0,0,target_cap_F_g,interlayer_A,0.24599861649491667,0.22806768227788649,-0.01793093421703018
1,1,1.0,0,target_cap_F_g,target_cap_F_g,1.0,1.0,0.0
1,1,1.0,0,target_cap_F_g,h2so4_M,0.2739375999872824,0.45766866500469444,0.18373106501741204
1,1,1.0,0,target_cap_F_g,composition_family,0.19523576356725625,0.34608480919306833,0.15084904562581208
1,1,1.0,0,target_cap_F_g,scan_rate_mV_s,0.20647966880514146,0.2226158628528587,0.01613619404771724
1,1,1.0,0,target_cap_F_g,layer_class,0.09968559788496818,0.13061725905383148,0.030931661168863298
1,1,1.0,0,h2so4_M,interlayer_A,0.13012676725268765,0.1253963992682588,-0.004730367984428857
1,1,1.0,0,h2so4_M,target_cap_F_g,0.2739375999872824,0.45766866500469444,0.18373106501741204
1,1,1.0,0,h2so4_M,h2so4_M,1.0,1.0,0.0
1,1,1.0,0,h2so4_M,composition_family,0.3022979047601231,0.2058186181305881,-0.09647928662953498
1,1,1.0,0,h2so4_M,scan_rate_mV_s,0.1661094624487936,0.1016839335021163,-0.0644255289466773
1,1,1.0,0,h2so4_M,layer_class,0.017910851905708295,0.010705827508889525,-0.00720502439681877
1,1,1.0,0,composition_family,interlayer_A,0.18284034185862033,0.1860507185937421,0.003210376735121756
1,1,1.0,0,composition_family,target_cap_F_g,0.19523576356725625,0.34608480919306833,0.15084904562581208
1,1,1.0,0,composition_family,h2so4_M,0.3022979047601231,0.2058186181305881,-0.09647928662953498
1,1,1.0,0,composition_family,composition_family,1.0,1.0,0.0
1,1,1.0,0,composition_family,scan_rate_mV_s,0.1978387349456568,0.12556652391255463,-0.07227221103310216
1,1,1.0,0,composition_family,layer_class,0.1262308376206321,0.038010222008571064,-0.08822061561206104
1,1,1.0,0,scan_rate_mV_s,interlayer_A,0.13167523013698276,0.237884601061995,0.10620937092501223
1,1,1.0,0,scan_rate_mV_s,target_cap_F_g,0.20647966880514146,0.2226158628528587,0.01613619404771724
1,1,1.0,0,scan_rate_mV_s,h2so4_M,0.1661094624487936,0.1016839335021163,-0.0644255289466773
1,1,1.0,0,scan_rate_mV_s,composition_family,0.1978387349456568,0.12556652391255463,-0.07227221103310216
1,1,1.0,0,scan_rate_mV_s,scan_rate_mV_s,1.0,1.0,0.0
1,1,1.0,0,scan_rate_mV_s,layer_class,0.08806254932415215,0.039326193000980794,-0.04873635632317136
1,1,1.0,0,layer_class,interlayer_A,0.09111930885238935,0.1557218755350239,0.06460256668263455
1,1,1.0,0,layer_class,target_cap_F_g,0.09968559788496818,0.13061725905383148,0.030931661168863298
1,1,1.0,0,layer_class,h2so4_M,0.017910851905708295,0.010705827508889525,-0.00720502439681877
1,1,1.0,0,layer_class,composition_family,0.1262308376206321,0.038010222008571064,-0.08822061561206104
1,1,1.0,0,layer_class,scan_rate_mV_s,0.08806254932415215,0.039326193000980794,-0.04873635632317136
1,1,1.0,0,layer_class,layer_class,1.0,1.0,0.0
1,1,3.0,0,interlayer_A,interlayer_A,1.0,1.0,0.0
1,1,3.0,0,interlayer_A,target_cap_F_g,0.24599861649491667,0.09267927487816835,-0.15331934161674832
1,1,3.0,0,interlayer_A,h2so4_M,0.13012676725268765,0.05979288488515937,-0.07033388236752829
1,1,3.0,0,interlayer_A,composition_family,0.18284034185862033,0.06608113293875195,-0.11675920891986838
1,1,3.0,0,interlayer_A,scan_rate_mV_s,0.13167523013698276,0.09935650077987225,-0.03231872935711051
1,1,3.0,0,interlayer_A,layer_class,0.09111930885238935,0.1324432722620749,0.04132396340968554
1,1,3.0,0,target_cap_F_g,interlayer_A,0.24599861649491667,0.09267927487816835,-0.15331934161674832
1,1,3.0,0,target_cap_F_g,target_cap_F_g,1.0,1.0,0.0
1,1,3.0,0,target_cap_F_g,h2so4_M,0.2739375999872824,0.16473630228844915,-0.10920129769883324
