fold,r2,mae,rmse,n_test
1,0.15123925596186594,61.295118967692055,90.35400437915239,24
2,0.003088792942873897,86.05131323772929,113.19300631125432,23
3,-0.08505831621929438,81.49046936035157,101.29619616741648,23
4,-0.10228966018481711,52.4494760264521,73.86985755533328,23
5,0.09487193013001582,69.03701437245245,87.46603249872734,23
