comparison,bn_k,metric,better_is,n_folds,real_only_mean,augmented_mean,absolute_difference,relative_pct_change,n_folds_improved,wilcoxon_stat,wilcoxon_p,paired_t_p,min_attainable_wilcoxon_p
real_only_vs_B_real_plus_1.0x,2,r2,higher,5,-1.9056471772150136,-1.8763637235925565,0.029283453622457184,1.5366671214161036,2,6.0,0.8125,0.9599492202128584,0.0625
real_only_vs_B_real_plus_1.0x,2,mae,lower,5,129.56371166992184,130.94889907045717,1.3851874005352953,1.069116794109925,2,6.0,0.8125,0.8560918498704096,0.0625
real_only_vs_B_real_plus_1.0x,2,rmse,lower,5,189.0665896525139,190.20767770181843,1.1410880493045112,0.6035376485087718,2,6.0,0.8125,0.8899682759372696,0.0625
real_only_vs_C_real_plus_3.0x,2,r2,higher,5,-1.9056471772150136,-2.5304137762350227,-0.6247665990200086,-32.78500902423431,0,0.0,0.0625,0.14666168866886878,0.0625
real_only_vs_C_real_plus_3.0x,2,mae,lower,5,129.56371166992184,138.69802124362522,9.134309573703343,7.050052407400943,0,0.0,0.0625,0.017698018897439407,0.0625
real_only_vs_C_real_plus_3.0x,2,rmse,lower,5,189.0665896525139,200.82366010983046,11.757070457316548,6.218481265740767,0,0.0,0.0625,0.01340246233654419,0.0625
real_only_vs_D_real_plus_5.25x,2,r2,higher,5,-1.9056471772150136,-1.3801285390895797,0.525518638125434,27.57691163447408,1,5.0,0.625,0.4870772272497365,0.0625
real_only_vs_D_real_plus_5.25x,2,mae,lower,5,129.56371166992184,123.57263389078773,-5.991077779134116,-4.624039942910143,3,6.0,0.8125,0.5506316331735411,0.0625
real_only_vs_D_real_plus_5.25x,2,rmse,lower,5,189.0665896525139,186.1015505837736,-2.9650390687403303,-1.5682512040809458,1,5.0,0.625,0.8092295466123514,0.0625
