fold,n_train,n_test,n_test_papers,r2,mae,rmse
1,94,24,8,0.15123925596186594,61.295118967692055,90.35400437915239
2,94,24,8,0.09935961538657512,134.6684582265218,278.71403217832346
3,94,24,8,-0.09244449753364536,90.27214612325032,115.72446149246304
4,95,23,8,-0.10228966018481711,52.4494760264521,73.86985755533328
5,95,23,8,0.09487193013001582,69.03701437245245,87.46603249872734
