fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
1,2,1.0,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.23965909677047958,0.11446359677229442
1,2,1.0,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.17331621847133102,0.677206333171379
1,2,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.07523159595159697,0.006227501698857149
1,2,1.0,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.3094544362890916,0.3060003658920108
1,2,1.0,1,interlayer_A,continuous,-0.14570311657987187,-0.08730844451122667,0.058394672068645195,-0.4378524920655315,-0.44049312470365093,0.0026406326381194223,True,,,
1,2,1.0,1,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.3665506853150225,0.24135518531683733
1,2,1.0,1,composition_family,categorical,,,,,,,,0.8505225516427101,0.186279441469694,0.6642431101730161
1,2,1.0,1,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.11110733050026957,0.04210323624752975
1,2,1.0,1,layer_class,categorical,,,,,,,,0.0034540703970807876,0.06623584687107707,0.06278177647399628
1,2,1.0,2,interlayer_A,continuous,-0.14570311657987187,-0.11178844672987065,0.03391466985000122,-0.4378524920655315,-0.27524893314367,0.1626035589218615,True,,,
1,2,1.0,2,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.22529445404833678,0.10009895405015162
1,2,1.0,2,composition_family,categorical,,,,,,,,0.8505225516427101,0.8154592297275145,0.03506332191519557
1,2,1.0,2,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.09835482659176688,0.02935073233902706
1,2,1.0,2,layer_class,categorical,,,,,,,,0.0034540703970807876,0.0013165003403580702,0.0021375700567227173
1,2,3.0,0,interlayer_A,continuous,-0.14570311657987187,-0.20170422580521086,0.05600110922533899,-0.4378524920655315,-0.4312302562302562,0.006622235835275325,True,,,
1,2,3.0,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.14750171320298086,0.0223062132047957
1,2,3.0,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.6238733669591554,0.22664918468355466
1,2,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.06665226361512601,0.002351830637613808
1,2,3.0,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.033508699031515314,0.030054628634434526
1,2,3.0,1,interlayer_A,continuous,-0.14570311657987187,-0.14281220917995371,0.0028909073999181523,-0.4378524920655315,-0.3861091611091611,0.051743330956370404,True,,,
1,2,3.0,1,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.1702278392022579,0.045032339204072735
1,2,3.0,1,composition_family,categorical,,,,,,,,0.8505225516427101,0.8073525201888567,0.04317003145385334
1,2,3.0,1,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.04567146593166051,0.02333262832107931
1,2,3.0,1,layer_class,categorical,,,,,,,,0.0034540703970807876,0.008660731897223316,0.0052066615001425285
1,2,3.0,2,interlayer_A,continuous,-0.14570311657987187,-0.24325559842304786,0.097552481843176,-0.4378524920655315,-0.5045279045279044,0.06667541246237291,True,,,
1,2,3.0,2,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.08211591749001503,0.043079582508170136
1,2,3.0,2,composition_family,categorical,,,,,,,,0.8505225516427101,0.8606087081563026,0.01008615651359257
1,2,3.0,2,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.12618423071340626,0.05718013646066644
1,2,3.0,2,layer_class,categorical,,,,,,,,0.0034540703970807876,0.0014157591319164202,0.002038311265164367
1,2,5.25,0,interlayer_A,continuous,-0.14570311657987187,-0.17352545427752653,0.02782233769765466,-0.4378524920655315,-0.4060787351103039,0.031773756955227606,True,,,
1,2,5.25,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.14700612120583925,0.02181062120765409
1,2,5.25,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.7342857075487481,0.11623684409396196
1,2,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.06671551370217663,0.0022885805505631907
1,2,5.25,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.01893285555071411,0.015478785153633323
1,2,5.25,1,interlayer_A,continuous,-0.14570311657987187,-0.17332619609653618,0.027623079516664317,-0.4378524920655315,-0.4171629556277812,0.02068953643775029,True,,,
1,2,5.25,1,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.14465801763245037,0.01946251763426521
1,2,5.25,1,composition_family,categorical,,,,,,,,0.8505225516427101,0.8557593145170297,0.005236762874319623
1,2,5.25,1,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.07424374226264055,0.0052396480099007325
1,2,5.25,1,layer_class,categorical,,,,,,,,0.0034540703970807876,0.0027390406001659385,0.000715029796914849
1,2,5.25,2,interlayer_A,continuous,-0.14570311657987187,-0.0918943346954284,0.05380878188444346,-0.4378524920655315,-0.3148952431042063,0.1229572489613252,True,,,
1,2,5.25,2,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.26824066060885643,0.14304516061067127
1,2,5.25,2,composition_family,categorical,,,,,,,,0.8505225516427101,0.5067412253037852,0.3437813263389249
1,2,5.25,2,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.05487610919974795,0.01412798505299187
1,2,5.25,2,layer_class,categorical,,,,,,,,0.0034540703970807876,0.05784552881948952,0.05439145842240873
1,3,1.0,0,interlayer_A,continuous,-0.14570311657987187,-0.09606071105834903,0.04964240552152284,-0.4378524920655315,-0.2335229966808914,0.2043294953846401,True,,,
1,3,1.0,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.229698476290853,0.10450297629266783
1,3,1.0,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.9036332757644228,0.053110724121712694
1,3,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.10725181491782287,0.03824772066508306
1,3,1.0,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.0012415473970570782,0.0022125230000237094
1,3,3.0,0,interlayer_A,continuous,-0.14570311657987187,-0.1800837970901401,0.03438068051026824,-0.4378524920655315,-0.3403299403299403,0.09752255173559121,True,,,
1,3,3.0,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.09393628039112824,0.03125921960705692
1,3,3.0,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.8514714436896373,0.0009488920469272744
1,3,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.08212568016638414,0.013121585913644318
1,3,3.0,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.004684029860332497,0.0012299594632517096
